,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_20,sma_50,ema_12,ema_26,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,rsi_14,BBM_5_2.0,BBstd_5_2.0,BBU_5_2.0,BBL_5_2.0,BBB_5_2.0
2020-01-01,10008.007575527263,10014.48772711996,9988.609574426358,10000.0,10000.0,5477375,10106.919618924,10139.77458020124,9583.314466553693,10000.0,10000.0,0.0,0.0,0.0,57.91222725662456,10106.919618924,128.09512085504772,10363.109860634095,9850.729377213904,512.380483420191
2020-01-02,9996.57949273276,9996.57949273276,9969.212197930137,9983.955530563562,9983.955530563562,4704595,10106.919618924,10139.77458020124,9583.314466553693,9997.531620086702,9998.811520782487,-1.2799006957848178,-0.25598013915696355,-1.0239205566278542,57.91222725662456,10106.919618924,128.09512085504772,10363.109860634095,9850.729377213904,512.380483420191
2020-01-03,10059.7923743666,10083.025089489749,10059.7923743666,10065.064225640865,10065.064225640865,2844040,10106.919618924,10139.77458020124,9583.314466553693,10007.921251710419,10003.719128549774,4.202123160644987,0.6356405208034267,3.5664826398415608,57.91222725662456,10106.919618924,128.09512085504772,10363.109860634095,9850.729377213904,512.380483420191
2020-01-06,10244.459248511299,10265.921607328071,10238.97806985588,10257.081206760035,10257.081206760035,7908998,10106.919618924,10139.77458020124,9583.314466553693,10046.253552487284,10022.486689898682,23.766862588601725,5.261884934363087,18.504977654238637,57.91222725662456,10106.919618924,128.09512085504772,10363.109860634095,9850.729377213904,512.380483420191
2020-01-07,10226.669754580435,10232.54767851065,10216.583070081038,10228.49713165553,10228.49713165553,1864845,10106.919618924,10139.77458020124,9583.314466553693,10074.291026205476,10037.746722621412,36.54430358406353,11.518368664303175,25.025934919760353,57.91222725662456,10106.919618924,128.09512085504772,10363.109860634095,9850.729377213904,512.380483420191
2020-01-08,10195.559276454305,10208.932778204125,10195.559276454305,10199.997136067508,10199.997136067508,3006811,10146.9190461375,10139.77458020124,9583.314466553693,10093.630427722712,10049.765271765567,43.86515595714445,17.98772612287143,25.877429834273023,57.91222725662456,10146.9190461375,117.11670285145483,10381.15245184041,9912.68564043459,468.4668114058186
2020-01-09,10381.545327560692,10410.377082541814,10381.545327560692,10401.873680564908,10401.873680564908,8977848,10230.50267613777,10139.77458020124,9583.314466553693,10141.052466621511,10075.847376121075,65.2050905004362,27.431198998384385,37.77389150205181,57.91222725662456,10230.50267613777,120.80866125289978,10472.11999864357,9988.885353631971,483.23464501159833
2020-01-10,10488.923717230382,10511.004064169587,10484.251057280297,10501.995054586743,10501.995054586743,2434636,10317.888841926944,10139.77458020124,9583.314466553693,10196.582095539241,10107.413870822236,89.1682247170047,39.77860414210845,49.389620574896256,57.91222725662456,10317.888841926944,128.9723335945249,10575.833509115993,10059.944174737895,515.8893343780983
2020-01-13,10441.989336849454,10454.54149747853,10423.567020307946,10442.31226971901,10442.31226971901,4908308,10354.935054518739,10139.77458020124,9583.314466553693,10234.386737720744,10132.221159629404,102.16557809134065,52.25599893195489,49.90957915938576,57.91222725662456,10354.935054518739,133.65717609169255,10622.249406702123,10087.620702335355,534.6287043667689
2020-01-14,10518.116756487296,10524.542664898518,10508.01902804869,10513.58385757603,10513.58385757603,8332827,10411.95239970284,10139.77458020124,9583.314466553693,10277.340140775405,10160.47024836619,116.86989240921503,65.17877762740693,51.691114781808096,57.91222725662456,10411.95239970284,126.8709669285657,10665.69433355997,10158.210465845708,507.4838677142616
