,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_20,sma_50,ema_12,ema_26,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,rsi_14,BBM_5_2.0,BBstd_5_2.0,BBU_5_2.0,BBL_5_2.0,BBB_5_2.0
2020-01-01,99.51058352944361,99.65011011459227,99.49093842634666,99.50292011911434,99.50292011911434,396618,100.36696710323467,100.63961298856762,96.14330210052985,99.50292011911434,99.50292011911434,0.0,0.0,0.0,58.08084644652975,100.36696710323467,1.0331774618416536,102.43332202691798,98.30061217955136,4.132709847366613
2020-01-02,99.4096850141645,99.4096850141645,98.99318056669912,99.37537520875871,99.37537520875871,667354,100.36696710323467,100.63961298856762,96.14330210052985,99.48329782521347,99.49347234797689,-0.010174522763421123,-0.002034904552684225,-0.008139618210736898,58.08084644652975,100.36696710323467,1.0331774618416536,102.43332202691798,98.30061217955136,4.132709847366613
2020-01-03,99.85432267444948,100.33823220906221,99.7638793714286,100.03110964263655,100.03110964263655,372544,100.36696710323467,100.63961298856762,96.14330210052985,99.56757656635548,99.5332973327665,0.034279233588989655,0.005227923075650551,0.029051310513339104,58.08084644652975,100.36696710323467,1.0331774618416536,102.43332202691798,98.30061217955136,4.132709847366613
2020-01-06,101.44391001534622,101.74565941061604,101.19726470555274,101.5764312754033,101.5764312754033,634633,100.36696710323467,100.63961298856762,96.14330210052985,99.87663113697822,99.68464058777663,0.19199054920159142,0.04258044830083873,0.14941010090075268,58.08084644652975,100.36696710323467,1.0331774618416536,102.43332202691798,98.30061217955136,4.132709847366613
2020-01-07,101.66853080539616,101.6823077052564,101.24136808944934,101.34899927026048,101.34899927026048,133896,100.36696710323467,100.63961298856762,96.14330210052985,100.10314931132933,99.80792641610877,0.29522289522056155,0.09310893768478329,0.20211395753577827,58.08084644652975,100.36696710323467,1.0331774618416536,102.43332202691798,98.30061217955136,4.132709847366613
2020-01-08,100.82347139129133,101.46604897161325,100.82347139129133,101.12209309269153,101.12209309269153,578646,100.6908016979501,100.63961298856762,96.14330210052985,100.25990989307736,99.90527209585565,0.35463779722171296,0.14541470959216923,0.20922308762954372,58.08084644652975,100.6908016979501,0.9446052768409995,102.58001225163211,98.8015911442681,3.778421107364011
2020-01-09,102.45838933005177,102.82909870778244,102.45838933005177,102.7419759555002,102.7419759555002,915331,101.3641218472984,100.63961298856762,96.14330210052985,100.64176621037319,100.11539830768118,0.5263679026920158,0.22160534821213856,0.30476255447987727,58.08084644652975,101.3641218472984,0.9720192108339644,103.30816026896633,99.42008342563048,3.8880768433358526
2020-01-10,103.673387036206,103.81610032375505,103.41231944445178,103.5438407067716,103.5438407067716,599387,102.06666806012541,100.63961298856762,96.14330210052985,101.08823920981911,100.3693570039101,0.7188822059090114,0.3210607197515132,0.39782148615749824,58.08084644652975,102.06666806012541,1.0350944700483824,104.13685700022218,99.99647912002864,4.14037788019354
2020-01-13,102.98758431319207,103.26388538311758,102.71951892488713,103.06917460018254,103.06917460018254,914661,102.36521672508127,100.63961298856762,96.14330210052985,101.39299850064424,100.56934349252286,0.8236550081213778,0.42157957742548613,0.4020754306958917,58.08084644652975,102.36521672508127,1.072929748250905,104.51107622158308,100.21935722857945,4.291718993003627
2020-01-14,103.5378672019956,104.00514877383321,103.24761376666193,103.64027004582987,103.64027004582987,610269,102.82347088019515,100.63961298856762,96.14330210052985,101.73873258451896,100.79681953350857,0.9419130510103884,0.5256462721424666,0.41626677886792174,58.08084644652975,102.82347088019515,1.018306397971772,104.86008367613869,100.7868580842516,4.0732255918870806
2020-01-15,103.11762231376694,103.26044355462312,102.80624347172298,103.17141047395415,103.17141047395415,367727,103.23333435644767,100.63961298856762,96.14330210052985,101.95914456750899,100.97271515872676,0.9864294087822287,0.6178028994704191,0.3686265093118096,58.08084644652975,103.23333435644767,0.36545414208437427,103.96424264061642,102.50242607227892,1.4618165683374968
