Date,Open,High,Low,Close,Volume,Adj Close
2023-01-02,213.60213941114975,216.8235545739123,212.4895167304467,215.50559247997649,9897444,215.50559247997649
2023-01-03,215.1097932219653,216.23516071458937,215.1097932219653,216.14791389652592,1452695,216.14791389652592
2023-01-04,215.69226693281047,217.51131102596773,215.09976446375657,215.09976446375657,821747,215.09976446375657
2023-01-05,220.0630604782973,223.60815077200263,217.98627996917872,220.75757860974645,351492,220.75757860974645
2023-01-06,220.1467245458819,221.95401978608473,214.83711936142188,217.75599288681593,9802701,217.75599288681593
2023-01-09,215.3699082908404,218.6681558348304,215.04085361613667,216.34496875245148,4933177,216.34496875245148
2023-01-10,214.6921672778468,216.70559466701815,212.81357576284051,216.20957815302012,3022097,216.20957815302012
2023-01-11,214.10522511783984,216.027853848652,211.5580576405648,211.57460453995157,7222313,211.57460453995157
2023-01-12,204.5596206363989,206.45259591734705,202.7585661924665,202.7585661924665,170640,202.7585661924665
2023-01-13,206.63392338662496,212.2193637641827,206.54467365194705,206.9995504444768,3841196,206.9995504444768
2023-01-16,208.83716686536147,211.90271129406096,207.51193343651948,209.92180261640195,3364908,209.92180261640195
2023-01-17,204.78764697088027,205.3045399018688,203.56475082916336,203.56475082916336,3721581,203.56475082916336
2023-01-18,203.9559561408784,206.39472199550968,199.62533729677895,202.36121035591708,3872811,202.36121035591708
2023-01-19,202.55370706289185,204.37424785392335,201.1599656321577,203.0264554193711,5951244,203.0264554193711
2023-01-20,201.72389474845085,205.5240690131023,194.4292356411544,200.77585764652932,2376360,200.77585764652932
2023-01-23,193.972623447104,194.29289504495767,189.0433024811503,194.29289504495767,9206824,194.29289504495767
2023-01-24,192.57572978077152,193.6512479268914,187.14454696313675,193.6512479268914,6343669,193.6512479268914
2023-01-25,195.3317912744966,198.6120466279771,192.3464259732449,193.1209213911655,6411326,193.1209213911655
2023-01-26,200.63879321193903,203.91386875647123,198.16292691704257,200.44677453764248,3785501,200.44677453764248
2023-01-27,200.44131166078435,204.30287201258932,198.6272653487045,200.8763690355192,1554908,200.8763690355192
2023-01-30,203.88281716360052,206.54743930449777,198.79903432983008,202.4869668560998,5049499,202.4869668560998
2023-01-31,202.9095254483945,202.9095254483945,199.45934455747573,199.45934455747573,4948287,199.45934455747573
2023-02-01,199.00351807690757,201.38579697356263,199.00351807690757,201.38579697356263,523570,201.38579697356263
2023-02-02,202.74344464523625,206.39794724348903,200.83798882538923,202.46558425256083,7025877,202.46558425256083
2023-02-03,205.269626775752,205.47022220925805,200.4604820502849,205.47022220925805,5628983,205.47022220925805
2023-02-06,200.89782780165308,202.6467538041557,199.3718034847749,201.20444131892995,7078737,201.20444131892995
2023-02-07,198.24973530207117,199.59668049941305,196.9454585092783,196.9454585092783,4110912,196.9454585092783
2023-02-08,198.82993683088225,199.4018548371556,195.2875895827349,196.7402291753305,2596081,196.7402291753305
2023-02-09,197.25262053422355,200.25147808729076,193.62136898988587,198.416489789351,3564442,198.416489789351
2023-02-10,195.14882882536168,198.93510081795105,195.14882882536168,198.93510081795105,8601424,198.93510081795105
2023-02-13,197.41603621866025,197.78914923379816,195.8470794933404,196.7069164589702,4445760,196.7069164589702
2023-02-14,197.3441911980485,199.1229358605779,194.06702788350304,199.1229358605779,1822320,199.1229358605779
2023-02-15,194.99824939812615,197.6937658025708,192.36330502702103,194.90593102707257,8651881,194.90593102707257
2023-02-16,196.2819331988549,198.01392098936552,194.7105814380897,196.41470656516,943523,196.41470656516
2023-02-17,206.33097040359604,207.4770986975665,203.70155987397095,204.0356085907012,8996761,204.0356085907012
2023-02-20,210.5498141895592,211.6320767456091,208.7776304699943,209.62668963501645,7202173,209.62668963501645
2023-02-21,210.57894820516705,212.8078164943042,207.05380509673537,211.39752200245465,4200673,211.39752200245465
2023-02-22,214.8041929175277,216.51913376180596,212.977414196629,213.54671569305697,7053757,213.54671569305697
2023-02-23,208.24976425226473,213.1848892936867,207.96268525909448,209.76114388173403,1453038,209.76114388173403
2023-02-24,205.5864363092543,208.25689481588296,203.63806820679483,203.63806820679483,3563351,203.63806820679483
2023-02-27,208.6847137013571,208.6847137013571,202.2523405277944,208.0698462330031,2791276,208.0698462330031
2023-02-28,206.3247564695932,206.99450521606545,204.644686506907,205.83229779275564,8101482,205.83229779275564
2023-03-01,202.50739623913333,203.5409723433746,200.25020811303028,203.5409723433746,5706594,203.5409723433746
2023-03-02,201.25852598612784,201.8087774956218,196.23001751855753,200.65514763150125,5823601,200.65514763150125
2023-03-03,194.8240002168636,196.36155704973265,193.40557849588285,195.9368866735378,4346049,195.9368866735378
2023-03-06,195.9161593527109,197.3791195004142,194.3402607495813,196.51002388701568,1322869,196.51002388701568
2023-03-07,199.88134047782097,200.52473733406055,196.2315728486162,197.51364308174703,6601632,197.51364308174703
2023-03-08,201.53144398279804,203.45919458826816,200.0504544313064,202.8459496437441,7579821,202.8459496437441
2023-03-09,203.40430278508128,206.04864901090477,202.04920808971397,202.04920808971397,1407506,202.04920808971397
2023-03-10,207.98156972881088,208.9127751659617,204.00760178544664,204.72934138271864,9118873,204.72934138271864
2023-03-13,205.38919078652413,206.181197657639,204.5046912181272,204.5046912181272,6392518,204.5046912181272
2023-03-14,202.81336694593423,205.5838827818782,201.0383499631548,205.5838827818782,5742264,205.5838827818782
2023-03-15,200.63152885181805,201.82258370392043,195.182648800938,199.62590230755953,3980993,199.62590230755953
2023-03-16,203.21903629958385,205.29038369827953,200.20184694621128,202.20839451799057,5296467,202.20839451799057
2023-03-17,202.7150737107291,204.08057180130024,202.3659625914344,202.8567595661281,1044789,202.8567595661281
2023-03-20,200.74160833224352,202.708019153229,199.62460815323635,199.62460815323635,5156861,199.62460815323635
2023-03-21,206.57245436666244,206.57245436666244,203.63374432277897,204.5788669986207,8302787,204.5788669986207
2023-03-22,203.89193757027272,205.77647307298335,200.2859217243392,200.2859217243392,487952,200.2859217243392
2023-03-23,205.83504893470473,208.2546451080929,203.7783162971751,205.06512038605777,344761,205.06512038605777
2023-03-24,207.04552628019,207.04552628019,203.762876385935,205.6284569239469,8140979,205.6284569239469
2023-03-27,201.27016602264032,204.67164276207205,200.69020898824652,203.16219454780224,8771370,203.16219454780224
2023-03-28,201.97629467148377,206.1512024408816,199.04150103566823,202.51802273321616,7522212,202.51802273321616
2023-03-29,207.77943573518036,207.77943573518036,204.7534027135464,204.7534027135464,7896324,204.7534027135464
2023-03-30,206.724555929873,209.54770222733237,206.724555929873,209.54770222733237,5384958,209.54770222733237
2023-03-31,214.50778558281684,218.97823258317595,207.7633736564451,214.08264545106425,3709736,214.08264545106425
2023-04-03,213.76864036371688,217.0854481226737,212.34949146438672,212.34949146438672,1235964,212.34949146438672
2023-04-04,226.5630048589796,226.5630048589796,222.82261959307684,223.72055850751968,9010852,223.72055850751968
2023-04-05,222.8305275753126,225.20467953995603,220.00000934950833,222.628506652569,929735,222.628506652569
2023-04-06,221.96324560385705,224.8040139856557,219.436483361773,221.19409593959043,5445854,221.19409593959043
